dist,GT,highRes,ShighRes,Fmean,Fmedian,FSCmean,FSCmedian,FSCpam,FSCkml,RWGPS,SFmean,SFmedian,SFSCmean,SFSCmedian,SFSCpam,SFSCkml
762,30.71371152,30.858,30.88064107,23.76645399,27.82377648,28.87124667,31.32288579,30.9856643,28.93749996,8,23.86003054,27.83073858,28.9177218,31.4541483,30.97431309,28.95495614
763,30.68313019,30.824,30.85158804,23.69306316,27.71558744,28.85102537,31.32165655,30.9754952,28.91606818,8.1,23.84352209,27.81145424,28.89814844,31.44049247,30.96295796,28.93473033
764,30.65254886,30.79,30.82228011,23.59203731,27.64183912,28.83072246,31.32037451,30.96517029,28.88913731,0.1,23.82709614,27.79207461,28.87847763,31.42676088,30.95150219,28.91432519
765,30.62196752,30.756,30.79272502,23.5414102,27.58996047,28.81034407,31.31420855,30.95468801,28.87569649,0.2,23.81081041,27.77282258,28.85871552,31.41297039,30.93994396,28.89381397
766,30.59138619,30.722,30.76293067,23.51111376,27.6011592,28.7898976,31.30163667,30.94404685,28.84651031,0.2,23.79498041,27.7534785,28.83887172,31.39910095,30.92828143,28.87314148
767,30.56080486,30.688,30.73290507,23.49328254,27.60936769,28.7693882,31.29748632,30.93324538,28.82640584,0.3,23.77919008,27.73428932,28.81893991,31.38515661,30.91651272,28.85241299
768,30.53022352,30.654,30.70265638,23.42922707,27.61757619,28.74882531,31.30245046,30.92228221,28.80408202,0.4,23.76343739,27.71518443,28.79892173,31.37113827,30.90463591,28.83156041
769,30.49964219,30.62,30.67219289,23.33578833,27.40559749,28.72822345,31.30752922,30.91115601,28.77749117,0.5,23.74773701,27.69587797,28.77881882,31.35689786,30.89264905,28.81064331
770,30.46716361,30.5915,30.64145752,23.27263455,27.36071974,28.70758571,31.312724,30.89986552,28.76498241,0.6,23.73214071,27.67655121,28.75863274,31.34254361,30.88055015,28.78956162
771,30.43468502,30.563,30.61050039,23.20648656,27.31584201,28.68691356,31.2961478,30.88840954,28.73505718,0.7,23.71671367,27.65722325,28.73836686,31.32809039,30.86833721,28.7683929
772,30.40220644,30.5345,30.57933536,23.1417119,27.22477999,28.6662106,31.27669155,30.8767869,28.72307368,0.8,23.70134402,27.63743328,28.71803458,31.31354048,30.8560082,28.74714937
773,30.36972785,30.506,30.5479764,23.17290502,27.22605134,28.64526571,31.2573112,30.86499652,28.69376042,0.8,23.68592972,27.61696698,28.69764892,31.29877941,30.84356106,28.72580226
774,30.33724927,30.4775,30.51643762,23.17605539,27.18983978,28.62431441,31.23800724,30.85303736,28.67587617,0.9,23.67066401,27.59644241,28.67719821,31.28364817,30.83099371,28.70430799
775,30.30477068,30.449,30.48473322,23.06738886,27.10061824,28.603353,31.21869397,30.84090846,28.65509433,1,23.65546029,27.57686411,28.65668363,31.26821225,30.81830406,28.682803
776,30.2722921,30.4205,30.45287755,23.05628831,27.07679325,28.58238469,31.20399585,30.82860889,28.62152246,1.1,23.64029816,27.55701096,28.63611784,31.25248291,30.80549,28.66125837
777,30.23981351,30.392,30.42088508,23.0790109,27.05213141,28.56141584,31.20307723,30.8161378,28.59930347,1.2,23.62562143,27.53753016,28.61550195,31.23715764,30.79254939,28.63961021
778,30.20733493,30.3635,30.38877038,23.00282567,27.01890219,28.54043902,31.20224796,30.80349439,28.58713712,1.3,23.61082838,27.51800352,28.59482642,31.2216435,30.77948012,28.61788387
779,30.17485634,30.335,30.35654817,22.9755058,26.89445175,28.52002444,31.20011556,30.79067792,28.5722511,1.4,23.59634972,27.49864559,28.57409212,31.20587569,30.76628005,28.59604591
780,30.14350351,30.2935,30.32431334,23.05537871,26.98149334,28.49957312,31.18466072,30.77768771,28.54419877,1.5,23.58200038,27.47920016,28.55331147,31.1898237,30.75294702,28.57414245
781,30.11215069,30.252,30.29213034,23.01897982,26.95766841,28.47964561,31.1691089,30.76452313,28.51695759,1.6,23.5674108,27.460053,28.53246217,31.17355649,30.7394789,28.5521236
782,30.08079786,30.2105,30.26001288,22.96427865,26.89610184,28.45965768,31.15348227,30.75118363,28.50197795,1.7,23.55250754,27.4409124,28.51154491,31.15703511,30.72587353,28.52999192
783,30.04944504,30.169,30.22797484,22.89244978,26.89664024,28.43960447,31.1377036,30.73766869,28.48175238,1.8,23.53782988,27.42164223,28.49057032,31.14026197,30.7121288,28.50780811
784,30.01809221,30.1275,30.19603028,22.89309463,26.91350411,28.4194961,31.12129542,30.72397788,28.45651272,1.9,23.52403378,27.40251792,28.46953908,31.12331568,30.69824256,28.48559462
785,29.98673938,30.086,30.16419347,22.87742734,26.89155992,28.39933907,31.09182451,30.71011079,28.44561221,2,23.51054939,27.38340501,28.44845265,31.10623417,30.68421269,28.46324604
786,29.95538656,30.0445,30.13247885,22.847717,26.86961572,28.37914642,31.06222578,30.6960671,28.41522477,2.1,23.49715879,27.36422738,28.42731063,31.08906886,30.6700371,28.44079364
787,29.92403373,30.003,30.10090106,22.94390087,26.92280377,28.35891163,31.03252029,30.68184654,28.39311459,2.2,23.4837686,27.34498743,28.40611211,31.07175156,30.65571369,28.41814782
788,29.89268091,29.9615,30.06947493,23.01226471,26.89413259,28.3392235,31.00272912,30.66744889,28.370791,2.4,23.47052423,27.32566945,28.38485639,31.05414269,30.64124041,28.39554881
789,29.86132808,29.92,30.03821547,23.05015766,26.91535844,28.31947344,30.97906964,30.652874,28.35698694,2.5,23.45723758,27.30618134,28.36352293,31.03623968,30.6266152,28.37282703
790,29.83431963,29.902,30.00715243,23.09928422,26.90033969,28.2996566,30.96209706,30.63812178,28.32797363,2.6,23.44411578,27.28807846,28.34211379,31.01817001,30.61183606,28.35007144
791,29.80731118,29.884,29.97612453,23.11528687,26.95189039,28.28098043,30.94492827,30.62319218,28.3050961,2.7,23.43173614,27.26985713,28.32061739,30.99996508,30.59690101,28.32729345
792,29.78030273,29.866,29.94513798,23.13687306,27.01479588,28.26332355,30.92756443,30.60808523,28.28505759,2.9,23.41982151,27.25167945,28.29903309,30.9816542,30.58180962,28.30436758
793,29.75329428,29.848,29.91419912,23.1908811,27.07197833,28.24699354,30.91000683,30.592801,28.25292014,3,23.40875183,27.23541558,28.27736115,30.96323018,30.56656173,28.28129205
794,29.72628584,29.83,29.8833144,23.14605223,27.00771881,28.23152864,30.89225686,30.57733963,28.24075021,3.1,23.39901106,27.2197539,28.25560162,30.94470468,30.55115726,28.25818685
795,29.69927739,29.812,29.85249037,23.20176617,27.00778063,28.215129,30.87431602,30.56170133,28.22313372,3.3,23.38896342,27.20408819,28.23376722,30.92601557,30.53559612,28.2350689
